Bedrooms,Bathrooms,Price,Areasqft
4,2,339800,2414
4,2,274900,1774
4,2,274900,1774
4,2,274900,1774
4,3,314900,2108
4,2,306900,1497
4,3,358900,2304
4,3,395276,2486
4,2,294900,1791
4,2,294900,1787
4,2,295364,1787
4,2,292364,1787
4,2,295364,1791
5,3,341900,2511
4,2,254900,1649
4,2,268900,1649
4,2,349400,1885
4,3,401475,2495
5,3,471882,3076
4,3,349900,2785
4,3,324900,2304
5,2,379500,2632
4,2,395400,2815
4,2,398400,2815
5,3,377500,2511
5,3,376500,2511
5,2,375100,2632
5,2,359900,2618
4,2,372900,2806
5,3,353200,2511
4,2,286395,1774
4,3,485792,2912
5,3,505856,3025
5,2,363900,2632
3,2,498890,2584
3,2,479700,2584
5,3,519700,2511
5,3,519200,2511
4,2,371483,2830
2,1,140000,17859.6
3,2,143000,10890
3,2,260000,19602
4,2,310000,91040.4
4,1,129900,13503.6
3,2,184999,8276
3,1,129900,1100
4,2,399000,8712
3,2,100000,77972.4
3,2,339000,1001880
4,2,363000,28749.6
5,3,359900,2657
3,2,115000,19602
3,2,199900,3560
3,2,325000,8276
3,3,390000,19166.4
3,2,340000,8276
2,2,369000,1862
4,2,355000,13939.2
4,2,250000,12632.4
3,1,69900,15681.6
3,2,259000,11325.6
2,1,67000,6098
3,2,221170,9000
4,4,351900,8276
2,2,209000,2080
3,1,75000,39204
4,2,289900,1787
3,2,200000,218235.6
3,2,449000,43560
2,2,425000,808
2,2,179000,1136
2,1,47900,7500
4,3,343980,2092
3,2,271900,1497
4,2,266395,1497
4,2,265900,1497
4,3,411025,2785
4,2,294900,1497
4,3,412725,2785
4,3,482568,2785
4,3,401622,2785
4,3,423722,2785
4,2,437250,2355
3,2,264400,1272
3,2,237400,1272
3,2,255900,1272
4,2,279900,1791
3,2,279900,1272
4,3,383428,2304
4,3,384900,2496
4,2,294900,1791
4,2,272333,1787
4,2,326900,1774
4,2,321900,1774
4,2,319900,1774
4,2,334900,1774
4,2,339900,2174
4,2,349900,1859
4,2,279900,1649
4,2,279900,1649
4,2,375900,2315
4,2,333285,1986
5,3,379900,2511
4,3,374900,2273
4,3,384900,2273
4,2,398035,2204
4,2,341800,2414
4,3,414933,2740
4,2,343900,1885
5,3,467932,3113
4,2,288400,1774
3,2,175900,5663
3,1,120000,9583
3,2,419900,174240
2,1,129900,8102
2,2,69900,15681.6
3,2,269000,22651.2
3,2,160000,20473.2
4,2,305400,2174
2,1,75000,43560
5,3,442850,15681.6
4,2,525000,27442.8
2,1,25000,917
4,2,328000,2255
3,3,94900,6970
3,2,375000,1983
2,1,49900,7405
4,4,3195000,3504
3,1,149900,108900
3,2,135000,8276
1,1,112000,576
3,2,218740,6534
3,2,267815,9148
2,1,89900,54450
3,1,175000,43560
3,2,200000,16117.2
4,4,425000,10454.4
3,2,240000,5663
4,3,485900,12632.4
3,2,240000,10454.4
2,2,429000,916
4,3,949900,32234.4
3,2,349900,10890
3,2,314900,1742
3,3,747500,1250
3,2,190000,9583
3,2,215000,16988.4
3,2,130000,16988.4
3,1,149900,9548
3,1,42000,8146
4,2,289900,52272
3,3,1900000,13068
3,2,224980,1446
3,1,1900000,8712
3,2,389900,43560
4,2,310000,22215.6
5,4,799900,33976.8
3,2,275000,27007.2
3,1,170000,13503.6
3,2,299900,109771.2
4,3,329900,16552.8
5,3,449900,871200
1,1,250000,608
3,2,79900,6970
5,3,1108620,26136
4,3,224900,194713.2
3,1,25000,9583
2,1,330000,792
4,2,269000,522720
3,2,255000,21344.4
4,2,179000,12196.8
3,2,284900,9148
5,4,800000,95832
3,2,179900,20908.8
3,2,315000,130680
4,2,144900,11325.6
4,3,649500,3100
5,2,285000,2862
4,3,359900,16117.2
4,2,276100,1791
3,2,275000,871200
4,3,479900,27878.4
5,3,279900,24393.6
4,3,1295000,19602
3,2,325000,91476
3,2,149000,24829.2
3,2,249000,61419.6
3,2,32900,9901
3,2,194900,15681.6
3,2,334900,2065
3,2,372400,19602
3,2,269900,1971
4,3,560000,17859.6
4,2,299900,22651.2
4,2,150000,510958.8
4,2,285000,14810.4
3,2,269900,1971
3,2,279900,1988
3,2,279900,1988
3,2,79900,166399.2
1,1,24000,91476
3,2,65000,37461.6
4,3,195000,36590.4
3,2,70000,9583
3,1,154900,426888
3,1,65000,11325.6
3,2,249000,16117.2
5,3,299000,448668
3,2,159900,13939.2
4,2,209000,43560
4,2,143000,12632.4
3,2,175000,12196.8
3,2,369000,16988.4
3,2,259900,31363.2
4,3,395000,13068
3,2,179000,14810.4
3,2,242000,19602
3,1,125000,9583
3,2,289900,15681.6
3,2,124900,1250
4,2,289900,18295.2
4,2,135000,1768
4,2,135000,1768
4,2,292500,13068
5,4,649000,30056.4
4,2,325000,10018.8
5,4,999900,24829.2
2,2,189900,950
5,4,524900,23086.8
